Name,Fighter ID,Record,Height (feet/inches),Weight (pounds),Reach (inches),Stance,Year born,Significant strikes landed per minute,Significant striking accuracy (%),Significant strikes absorbed per minute,Significant strike defense (% of opponent's strikes that did not land),Average takedowns landed per 15 minutes,Takedown accuracy (%),Takedown defense (%),Average submissions attempted per 15 minutes 
Jorge Lopez,ee624ee2a18f2a43,Record: 11-3-0,5.1,170,,Orthodox,1988,2.47,59,2.57,50,3.5,41,81,0.0
Hector Lombard,db1f2ed63b54b9a7,Record: 34-9-1 (2 NC),5.9,185,71,Southpaw,1978,3.02,45,3.32,53,1.86,48,82,0.5
Steve Lopez,6085ceb59087514b,Record: 12-6-1,5.11,155,,Orthodox,1984,1.39,24,2.69,62,0.0,0,37,0.0
David Loiseau,22e47b53e4ceb27c,Record: 20-10-0,6.0,185,76,Orthodox,1979,1.59,44,3.64,43,0.43,42,36,0.1
Lucas Lopes,1f70dd67ad507990,Record: 19-13-0,6.2,185,,,1979,0.0,0,0.0,0,0.0,0,0,0.0
Rocky Long,10e04e5e81f391a0,Record: 19-27-1,,145,,,1978,0.0,0,0.0,0,0.0,0,0,0.0
Artem Lobov,02f2a9702ba3d167,Record: 14-14-1 (1 NC),5.9,145,65,Southpaw,1986,3.38,42,4.55,49,0.45,25,54,0.0
Abner Lloveras,6448e57a9533b7e4,Record: 19-8-1,5.11,155,71,,1982,6.27,49,6.87,43,2.0,20,0,0.0
Sean Loeffler,d3d1ff3f3dfa0931,Record: 25-5-0,6.3,185,,Orthodox,1982,0.0,0,0.0,0,0.0,0,0,0.0
John Lober,31652c9267606d54,Record: 5-9-4,5.11,199,,Orthodox,1968,0.0,0,0.0,0,0.0,0,0,0.0
Dean Lister,68c6cd5287b473a7,Record: 11-7-0,6.1,185,75,Orthodox,1976,1.26,35,1.89,61,1.58,15,50,1.1
Brian Lo-A-Njoe,7abce81b72fbbd9b,Record: 6-9-3,5.7,155,,Orthodox,,3.87,42,0.0,0,0.0,0,66,0.0
Lucio Linhares,a780d16cf7eed44d,Record: 15-7-0,6.2,185,,Orthodox,1973,0.99,22,3.47,34,1.86,50,50,1.9
John Lineker,c268b2cfebccf652,Record: 30-8-0,5.3,135,67,Orthodox,1990,5.02,39,3.98,55,0.56,60,67,0.6
Philipe Lins,53c943c873cffe90,Record: 10-2-0,6.2,205,,,1985,0.0,0,0.0,0,0.0,0,0,0.0
Jake Lindsey,33e00249ef08d3a4,Record: 9-3-0,5.11,155,71,Switch,1986,3.44,52,4.01,46,0.65,33,50,0.0
Douglas Lima,264111bf62662fbf,Record: 29-6-0,6.1,170,,,1988,1.92,36,2.84,60,0.6,100,46,0.0
Juliana Lima,75a6a390fd5dca46,Record: 9-5-0,5.5,115,65,Orthodox,1982,1.94,44,2.11,55,1.72,31,70,0.0
Jae Suk Lim,bbb15f301e4a490a,Record: 15-5-0,5.9,170,,Orthodox,1979,2.43,50,4.05,37,12.16,100,100,0.0
Miguel Linares,18c49685296c60e6,Record: 2-4-0,,,,,,6.51,50,8.84,36,0.0,0,0,0.0
Matt Lindland,0e041d43a47d2e4b,Record: 22-9-0,6.0,185,74,Southpaw,1970,2.62,50,1.56,52,3.01,48,60,1.3
Donnie Liles,a1bf037613180253,Record: 13-5-0,5.9,170,,Orthodox,,2.25,41,1.75,65,2.5,28,0,1.2
Dhiego Lima,e9213f53ddeca978,Record: 14-6-0,6.2,170,74,Orthodox,1989,3.59,48,3.98,52,3.52,66,33,2.3
Hyun Gyu Lim,203c957eac95dd87,Record: 13-7-1,6.3,170,77,Orthodox,1985,4.45,41,5.07,51,0.23,100,73,0.2
Chris Liguori,0e31bfd26cc8c503,Record: 13-9-0,5.9,185,,Orthodox,,0.29,33,1.44,0,0.0,0,50,0.0
Zach Light,5d7c18191b8aa432,Record: 8-11-0,5.8,170,,Orthodox,1974,0.81,33,1.9,48,1.36,100,0,0.0
Sam Liera,421ccfc6ddb17958,Record: 4-3-0,,,,,,0.82,60,7.36,51,0.0,0,66,0.0
Chuck Liddell,a390eb8a9b2df298,Record: 21-8-0,6.2,205,76,Orthodox,1969,2.97,35,2.71,56,0.44,75,81,0.0
Bevon Lewis,899923ff6ab13917,Record: 3-0-0,6.3,185,79,Orthodox,1991,6.17,49,3.85,62,0.0,0,100,0.0
Jess Liaudin,a8aba6fd8a463043,Record: 19-11-0,5.9,170,72,Orthodox,,2.46,51,2.76,41,3.28,53,30,1.6
David Levicki,49590e0508b2c19f,Record: 1-3-0,6.5,275,,,,0.0,0,0.0,0,0.0,0,0,0.0
Derrick Lewis,d3df1add9d9a7efb,Record: 19-5-0 (1 NC),6.3,260,79,Orthodox,1985,3.11,51,1.73,48,0.65,29,57,0.0
Kyle Levinton,81ddc98fceb30086,Record: 0-3-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Marcus LeVesseur,182f2b78582de3d8,Record: 22-7-0,5.9,155,70,Southpaw,1982,2.55,64,3.7,37,3.89,36,83,0.6
Justin Levens,8c3f3c43c8ceb778,Record: 9-8-0,5.11,185,,Orthodox,1980,0.37,20,3.49,40,0.0,0,33,2.8
Valerie Letourneau,46a2f24feb258ae0,Record: 8-6-0,5.7,115,68,Orthodox,1983,4.51,37,5.4,58,0.77,45,66,0.3
Frank Lester,edd8d5d8089a35f8,Record: 6-6-0 (1 NC),5.11,170,,Orthodox,1984,2.18,36,3.82,53,0.0,0,0,0.0
Michael Lerma,f1fd8ec1023c89b3,Record: 0-1-0,,,,,,0.0,0,6.47,45,0.0,0,0,0.0
Brock Lesnar,513c6f1715e547a8,Record: 5-3-0 (1 NC),6.3,265,81,Orthodox,1977,3.53,72,2.11,50,3.9,55,60,0.5
Lukasz Les,5a8e30ed38a5bc6f,Record: 7-3-0,,170,,,1981,0.0,0,0.0,0,0.0,0,0,0.0
Chad Leonhardt,657d0ed181f04215,Record: 8-3-0,6.0,170,,,1980,0.0,0,0.0,0,0.0,0,0,0.0
Kimo Leopoldo,08ae5cd9aef7ddd3,Record: 10-7-1,6.3,235,,Orthodox,1968,0.76,83,2.12,30,4.55,100,0,2.3
Alberta Cerra Leon,6e02c318762f52f1,Record: 0-1-0,5.8,238,,,,0.0,0,0.0,0,0.0,0,0,0.0
Jesse Lennox,3ae10ac4df3df05c,Record: 15-3-0,5.9,170,72,Orthodox,1982,2.69,32,3.2,64,1.22,66,63,0.3
Amanda Lemos,3df5493bb279226f,Record: 6-1-1,5.4,135,65,Southpaw,1987,8.63,64,12.81,47,1.9,100,0,0.0
Anthony Leone,86b9b51a81e9c339,Record: 9-5-0,5.6,135,,Orthodox,1987,1.94,53,2.52,56,1.72,18,0,0.0
Nik Lentz,6fb1ba67bef41b37,Record: 30-8-2 (1 NC),5.8,155,68,Orthodox,1984,3.16,48,2.93,47,3.68,36,44,1.4
Stefan Leko,d56bb6dff2ae77eb,Record: 0-3-0,6.2,215,,Orthodox,1974,2.4,43,6.17,68,0.0,0,0,0.0
Gabe Lemley,fd4578cac86d75ca,Record: 13-9-0,5.8,155,,Orthodox,,0.82,35,6.03,45,0.0,0,0,0.0
Thales Leites,cfb65863d5099327,Record: 27-8-0,6.1,185,78,Orthodox,1981,2.1,39,3.0,54,2.03,26,40,1.1
Cheyden Leialoha,98cbbc06074c68a4,Record: 6-0-0,5.8,135,73,Orthodox,1994,1.87,28,3.2,53,2.0,33,71,0.0
Sherron Leggett,4f670b7972fa0a2e,Record: 21-6-0,5.8,155,,Southpaw,1978,2.86,51,2.08,47,5.19,80,33,0.0
Ricky Legere Jr.,5817df778cc27274,Record: 14-4-0,5.8,170,,,,1.07,41,1.53,60,5.0,41,0,0.0
Rocky Lee,0d1c163b206e8c5f,Record: 3-2-0,5.9,145,68,Orthodox,1987,2.47,51,5.33,44,1.0,10,33,0.0
Imani Lee,0802be3516ef8f66,Record: 2-3-0,,,,Orthodox,,0.0,0,0.94,33,0.0,0,0,0.0
Andrea Lee,05fa626cb33d15b8,Record: 8-2-0,5.7,125,,,1989,0.0,0,0.0,0,0.0,0,0,0.0
Kevin Lee,ee9ebceabfd16fa7,Record: 16-3-0,5.9,155,77,Orthodox,1992,3.64,42,3.09,52,3.45,42,73,1.4
Tommy Lee,806975e1b4f47b27,Record: 25-6-0 (1 NC),5.7,145,,Orthodox,1977,0.0,0,0.3,75,4.57,33,0,0.0
Eun Soo Lee,39c568f8c579913e,Record: 15-3-0 (1 NC),6.1,215,,Orthodox,1982,0.0,0,3.05,60,0.0,0,50,0.0
Vaughan Lee,8bb6f4479685bbcc,Record: 14-11-1,5.6,125,66,Orthodox,1982,3.47,47,2.07,70,0.81,33,72,1.0
Jackie Lee,4985113c0928aa62,Record: 0-1-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Matt Lee,d9e3743bae8d703d,Record: 13-10-1,5.11,155,,Orthodox,,0.0,0,9.68,21,0.0,0,0,0.0
James Lee,863d06a7ef8bc98c,Record: 14-3-0 (1 NC),5.11,205,,Southpaw,1973,1.4,42,3.72,27,13.95,50,0,7.0
Tae Hyun Lee,de99da2c0d18d34a,Record: 1-2-0,6.6,295,,Orthodox,1975,1.37,31,3.89,54,5.15,100,0,0.0
Stephen Ledbetter,56ec58954158966a,Record: 8-3-0,5.9,145,,Orthodox,1982,1.2,38,1.6,57,5.0,45,100,0.0
David Lee,8caca5857ce0e30b,Record: 9-7-0,5.1,155,,Orthodox,,1.49,50,3.31,42,0.0,0,50,0.0
Chris Leben,d43a048a880efdff,Record: 22-11-0,5.11,185,74,Southpaw,1980,2.87,42,2.87,52,1.14,41,53,0.8
Jerome LeBanner,2d0b10789feafddb,Record: 3-2-0,6.3,265,,Southpaw,1972,0.92,35,1.03,37,0.0,0,50,0.0
Justin Ledet,ba1e6cb3d43f7430,Record: 9-0-0 (1 NC),6.4,240,80,Orthodox,1988,4.71,41,3.13,61,0.46,100,100,0.5
Cung Le,d4f364dd076bb0e2,Record: 9-3-0,5.9,185,69,Southpaw,1972,4.36,48,2.98,66,1.37,71,88,0.3
Valmir Lazaro,777dea713da2441d,Record: 13-4-0,6.0,155,73,Orthodox,1985,4.87,37,4.09,61,1.33,40,96,0.0
Eric Lawson,38e5d9dcb0fddc42,Record: 9-4-0,6.0,185,,Orthodox,,1.58,57,1.97,44,8.88,42,0,3.0
Justin Lawrence,879f6cae48d25baa,Record: 5-2-0,5.8,145,67,Orthodox,1990,3.84,35,2.83,67,0.72,28,73,0.0
Robbie Lawler,f2925e6db404bf1d,Record: 28-12-0 (1 NC),5.11,170,74,Southpaw,1982,3.56,44,3.99,60,0.72,65,69,0.0
Tom Lawlor,4d44f37107f01b9b,Record: 10-6-0 (1 NC),6.0,205,74,Southpaw,1983,2.5,42,2.41,60,2.46,32,57,1.4
Chatt Lavender,5449dcccd972ff83,Record: 9-7-0,5.8,170,,,1976,0.0,0,0.0,0,0.0,0,0,0.0
Muhammed Lawal,a571770c4016736f,Record: 9-1-0 (1 NC),6.0,205,78,Southpaw,1981,3.79,52,1.61,66,5.96,75,87,0.0
Dan Lauzon,4c8d6fde2dde07c4,Record: 15-4-0,5.1,155,,Orthodox,1988,1.34,25,4.09,61,1.63,33,80,2.7
Jenel Lausa,ec664422b22d9787,Record: 7-4-0,5.5,125,68,Orthodox,1988,1.58,41,3.69,53,0.67,66,60,1.0
Joe Lauzon,3bad7ef643840f67,Record: 27-15-0,5.1,155,71,Orthodox,1984,2.64,39,5.02,56,2.46,46,54,2.2
Sione Latu,5898357a45a73674,Record: 1-0-0,6.0,215,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ryan Larson,7107e53ebd7435fb,Record: 6-2-0,,170,,,1980,0.0,0,0.0,0,0.0,0,0,0.0
Ilir Latifi,e9a3aeb207578eea,Record: 15-5-0 (1 NC),5.1,205,73,Orthodox,1983,2.37,42,2.65,52,2.33,37,100,0.7
Lorenz Larkin,9450848a71d53776,Record: 18-5-0 (1 NC),5.11,170,72,Orthodox,1986,3.53,46,2.74,63,0.27,42,79,0.1
Bobby Lashley,b0826525fa17231d,Record: 7-1-0,6.3,255,78,Orthodox,1976,3.1,63,0.76,63,11.47,70,0,0.0
Anthony Lapsley,f3a853544e4413c4,Record: 25-7-0 (2 NC),5.9,170,71,Southpaw,1980,0.53,34,0.58,66,0.0,0,20,0.0
Brock Larson,5eedbf1e9601be35,Record: 33-6-0,5.11,170,71,Southpaw,1977,1.39,46,1.5,55,2.67,34,43,2.0
Jeremy Larsen,c3bd649a9194e50c,Record: 8-5-0 (1 NC),5.1,145,70,Orthodox,1984,4.87,48,5.75,57,2.49,33,0,0.0
Taylor Lapilus,8b1ed83b02303075,Record: 11-2-0,5.6,135,73,Southpaw,1992,3.77,45,2.0,61,0.58,40,81,0.6
Lionel Lanham,b8980dd7e8fc5976,Record: 3-1-0,,205,,,1980,0.0,0,0.0,0,0.0,0,0,0.0
Icho Larenas,49efbdc6c9f650c4,Record: 5-4-0,6.3,235,,Orthodox,1980,0.17,15,2.5,28,0.0,0,14,0.0
Aaron Lanfranco,d73e856f150744b2,Record: 5-1-0,,155,,,1986,0.0,0,0.0,0,0.0,0,0,0.0
Chad Laprise,c03a5022f8439f2a,Record: 14-2-0,5.1,170,71,,1986,4.87,42,3.62,65,1.13,60,78,0.0
Jose Landi-Jons,7e062824c175f975,Record: 27-14-0,5.11,170,,Orthodox,1973,0.99,40,0.77,43,2.2,80,40,2.2
Lina Lansberg,2eeaefbfc7f9fcff,Record: 7-3-0,5.7,135,65,Orthodox,1982,4.5,58,6.96,46,0.5,12,40,0.0
Jeremy Lang,09422812370fbdfe,Record: 21-2-0,5.11,205,,Southpaw,1975,1.13,50,1.41,42,4.22,60,0,4.2
Ricardo Lamas,3974fa35c917af1d,Record: 18-6-0,5.8,145,71,Orthodox,1982,2.77,43,2.52,58,1.67,32,47,1.0
Tina Lahdemaki,e5ca2bc2451a5956,Record: 5-1-0,5.2,115,62,Orthodox,1988,1.93,20,4.67,57,0.0,0,16,0.0
Jason Lambert,5be86bb2f78fef2f,Record: 25-12-0,6.3,185,75,Orthodox,1975,3.21,58,1.84,50,1.35,36,28,2.4
Ben Lagman,b40e65d71a8d4ce5,Record: 6-2-0,6.2,185,,,1986,0.0,0,0.0,0,0.0,0,0,0.0
Todd Lally,7d06092326c52528,Record: 2-1-0,5.7,145,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Kemran Lachinov,eb84192d1a97f69e,Record: 3-2-0,,170,,,,0.0,0,0.0,0,0.0,0,0,0.0
Noad Lahat,9f755fb04cc21499,Record: 9-2-0,5.9,145,69,Orthodox,1984,2.79,46,1.47,63,2.37,26,16,2.4
Aspen Ladd,d4691518d012b9e7,Record: 6-0-0,5.6,135,66,Orthodox,1995,3.44,43,5.43,35,1.99,100,0,0.0
Jeremiah Labiano,4fe1d105af549845,Record: 11-5-0,5.1,135,,,,0.0,0,0.0,0,0.0,0,0,0.0
Josh LaBerge,5108b169b5fe1f86,Record: 8-5-0,5.1,145,,,,2.53,36,5.33,44,0.0,0,71,0.0
Myles Jury,08e908ed6d18d6a0,Record: 17-2-0,5.1,145,73,Orthodox,1988,2.66,40,1.34,73,2.58,55,50,0.3
Achmed Labasanov,b3fb8d2293e17a59,Record: 8-5-0,6.3,215,,Orthodox,1978,0.75,39,1.1,46,3.0,100,0,0.8
Young Sam Jung,13104eaed3ae96c3,Record: 4-4-0,5.8,139,,Orthodox,1985,0.53,9,2.79,63,0.0,0,0,2.0
Chan Sung Jung,c451d67c09c55418,Record: 14-4-0,5.7,145,72,Orthodox,1987,3.78,38,3.45,62,1.12,71,68,0.9
Luke Jumeau,4c288a2b250bb576,Record: 13-4-0,5.11,170,72,Orthodox,1988,3.38,49,3.51,54,0.33,100,91,0.0
Steve Judson,6ece1d2ab1bed31d,Record: 0-2-0,5.11,230,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Jesse Juarez,cd039ff136d89ded,Record: 16-8-0,6.1,170,,Orthodox,1981,1.71,48,2.87,52,2.69,33,50,0.0
Tony Juarez,97f3692d5444a80a,Record: 1-7-0,,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
Mike Joy,35080a7f406f9ab3,Record: 10-6-0,5.6,155,,Southpaw,1985,0.63,32,1.67,45,0.0,0,0,0.0
Alan Jouban,cf65d56b0755ed3b,Record: 16-6-0,6.0,170,73,Southpaw,1981,5.41,53,3.48,60,0.52,50,62,0.0
Jeff Joslin,388abbf8832b5adf,Record: 5-3-0,6.0,170,,Orthodox,1975,2.17,39,1.57,65,0.5,33,64,0.5
Krzysztof Jotko,4e06913c91da5200,Record: 19-3-0,6.1,185,77,Southpaw,1989,2.96,45,1.68,60,1.25,42,86,0.1
Gareth Joseph,8ecb9f42da5ef5ac,Record: 9-4-0,,205,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ivan Jorge,19db7ac26308178f,Record: 26-5-0,5.9,155,73,Orthodox,1980,3.41,49,2.91,59,1.56,16,75,0.6
Scott Jorgensen,0b64d0fed453ef7f,Record: 15-12-0,5.5,135,66,Orthodox,1982,3.37,40,3.41,65,2.61,45,59,0.7
Shawn Jordan,ca2efc9d7d523c43,Record: 18-7-0,6.0,260,75,Southpaw,1984,2.87,50,3.3,47,1.97,38,76,0.1
Joe Jordan,712c4db78b9373d1,Record: 49-13-2,5.6,155,,Orthodox,1978,1.85,25,4.27,59,0.0,0,66,0.0
Jocelyn Jones-Lybarger,1a98c9dbb7fc3959,Record: 6-4-0,5.7,115,64,Orthodox,1985,2.96,31,4.83,56,0.34,25,81,0.0
Kevin Jordan,02e52b3a595f0786,Record: 11-9-0,6.3,245,,Orthodox,1970,2.0,40,1.91,55,0.0,0,77,0.6
Jamelle Jones,1dda22d0ac3d1271,Record: 7-5-0,6.0,205,75,Orthodox,1988,1.78,80,3.11,65,0.0,0,0,0.0
Chris Jones,509319d35664369e,Record: 10-5-0,5.9,149,,,1981,0.0,0,0.0,0,0.0,0,0,0.0
Roshaun Jones,8a9f54b9056b07f5,Record: 2-6-0,5.8,135,,,,0.0,0,0.0,0,0.0,0,0,0.0
Victor Jones,04f0471f221db717,Record: 1-3-0,,145,,,,0.0,0,0.0,0,0.0,0,0,0.0
Ben Jones,329aff8e958a2997,Record: 4-4-0 (1 NC),,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Justin Jones,9b75954db8db2a08,Record: 9-2-0,5.11,185,78,Orthodox,1987,1.7,36,3.17,45,1.0,15,46,0.5
Roy Jones,be8dfcf0442812b1,Record: 6-2-0,,205,,,1983,0.0,0,0.0,0,0.0,0,0,0.0
Tito Jones,7b223a22a6c26868,Record: 7-6-0,5.8,145,,Southpaw,1981,0.0,0,0.0,0,0.0,0,0,0.0
Jesse Jones,bc0f994de0521926,Record: 2-1-0,5.9,170,,,,0.0,0,0.0,0,0.0,0,0,0.0
Carlton Jones,f117c3e8c1aa7b9e,Record: 1-4-0,6.1,225,,Orthodox,,2.32,41,3.58,56,4.02,50,57,2.7
Marcus Jones,8fa2b06572365321,Record: 4-2-0,6.6,265,,Orthodox,1973,1.94,52,2.71,58,8.71,75,0,2.9
Jon Jones,07f72a2a7591b409,Record: 22-1-0 (1 NC),6.4,205,84,Orthodox,1987,4.41,55,2.12,65,2.13,50,95,0.6
Nathan Jones,f54fb3b9c4228142,Record: 0-1-0,6.11,345,,Orthodox,1970,0.0,0,0.0,0,0.0,0,0,0.0
Daniel Jolly,eeabcd4dc6619129,Record: 5-2-0,6.1,205,75,Orthodox,1984,1.32,46,3.39,44,2.83,33,50,0.0
Paul Jones,f341f9551ba744e2,Record: 11-1-1,5.9,199,,Orthodox,1963,0.0,0,0.0,0,0.0,0,0,0.0
Jordan Johnson,99bcdf5eac39898f,Record: 9-0-0,6.2,205,79,Orthodox,1988,3.11,44,2.96,52,2.67,36,100,0.7
Brian Johnston,1c3f5e85b59ec710,Record: 5-5-0,6.3,230,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Tony Johnson,a45bab49951a45cd,Record: 11-3-0,6.1,265,,,,2.0,53,4.73,31,2.0,22,0,0.0
Dashon Johnson,36207c58e854cae5,Record: 9-2-0,5.7,145,70,Orthodox,1988,1.01,69,3.83,35,0.85,33,63,0.8
Deshaun Johnson,bf97ad31eae89429,Record: 6-9-0,,167,,,,2.27,41,6.67,43,0.0,0,0,0.0
Tim Johnson,cc900af167fbedfd,Record: 12-4-0,6.3,265,77,Southpaw,1985,3.43,45,3.08,44,1.09,24,69,0.0
Kajan Johnson,633a45d131192ffe,Record: 22-12-1,5.11,155,75,Orthodox,1984,2.5,42,1.72,62,1.99,35,81,0.3
Demetrious Johnson,8a304bfd6bf04a57,Record: 27-2-1,5.3,125,66,Orthodox,1986,3.44,54,1.64,67,3.54,56,65,0.6
Michael Johnson,511e82663651438d,Record: 18-13-0,5.1,155,73,Southpaw,1986,4.13,36,4.03,57,0.61,50,79,0.1
Lavar Johnson,e6c5908910cc26e4,Record: 17-7-0,6.4,240,82,Orthodox,1977,5.39,55,2.54,55,0.61,66,54,0.6
Ricky Johnson,fa2fca260beeb9c0,Record: 5-4-0,5.8,145,,Orthodox,,1.83,25,6.3,36,0.0,0,0,0.0
Tony Johnson,3641a0d117e9bc6c,Record: 4-2-0,,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Devin Johnson,22f4b6cb6b1bd7fd,Record: 1-1-1,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Travis Johnson,443835675e8fc6ca,Record: 0-1-0,,205,,,,0.0,0,0.0,0,0.0,0,0,0.0
DaMarques Johnson,322a56923b396b4d,Record: 18-12-0,6.1,170,75,Orthodox,1982,2.11,37,3.75,51,1.18,55,19,0.7
Brett Johns,ec52462a1b41f714,Record: 15-0-0,5.7,135,71,Orthodox,1992,3.48,54,2.66,66,6.89,70,100,1.0
Carls John De Tomas,2a4200ead401a9ce,Record: 8-2-0,5.5,125,71,Southpaw,1996,1.74,37,3.93,44,1.37,33,66,0.0
Phil Johns,a8fa0c4e95512806,Record: 30-13-1,5.2,170,,Southpaw,1968,1.2,66,1.8,50,0.0,0,50,0.0
Anthony Johnson,365fee2da473b177,Record: 22-6-0,6.2,205,78,Orthodox,1984,3.25,47,1.83,60,2.43,57,77,0.6
Ryan Jimmo,bc3ec52ef70fc155,Record: 19-5-0,6.1,205,73,Orthodox,1981,3.12,66,2.77,46,0.45,28,87,0.0
Li Jingliang,e64b96c07d7ce999,Record: 14-5-0,6.0,170,71,Orthodox,1988,4.58,42,3.36,58,1.35,32,56,0.0
Gilbert Jimenez,59d36ddfcb27b7dc,Record: 8-12-1 (1 NC),,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
Maciej Jewtuszko,6b5b9be990774f0e,Record: 8-1-0,6.0,155,,Southpaw,1981,2.29,45,1.39,66,0.0,0,42,0.9
Art Jimmerson,a5c53b3ddb31cc7d,Record: 0-1-0,6.1,196,,Orthodox,1963,0.0,0,0.0,0,0.0,0,0,0.0
Ronald Jhun,b9e871af730f826c,Record: 24-24-2,5.11,170,,Orthodox,1970,1.45,57,3.01,50,1.81,100,100,0.0
Ryan Jensen,aae99701b21554e4,Record: 15-8-0,6.1,185,76,Orthodox,1977,2.84,39,2.99,59,1.55,50,31,1.9
Chanmi Jeon,24174a3f44ce8e03,Record: 5-2-0,5.5,115,67,Orthodox,1997,6.23,31,7.77,55,0.0,0,0,0.0
Steve Jennum,ad047e3073a775f3,Record: 2-3-0,5.1,215,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Kyle Jensen,aec273fcb765330d,Record: 40-11-2,5.9,170,,Orthodox,1979,0.0,0,0.92,60,6.92,100,0,6.9
Adrienna Jenkins,dae85a6a83f53215,Record: 19-6-0,5.8,145,,,1981,0.0,0,0.0,0,0.0,0,0,0.0
Bubba Jenkins,5e841bb3752b6e86,Record: 11-4-0,5.7,145,,,1988,2.41,37,1.58,67,7.23,68,100,0.0
Trent Jenkins,02fc8f50f56eb307,Record: 0-4-0,6.2,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Joanna Jedrzejczyk,3d6749c4267da18f,Record: 14-1-0,5.6,115,65,Orthodox,1987,6.76,49,2.48,67,0.19,66,81,0.0
Louis Jauregui,0e8744ded08ee5fb,Record: 4-2-0,5.7,170,,,,0.0,0,0.0,0,0.0,0,0,0.0
Rony Jason,b71ce838b01f2cad,Record: 15-7-0 (1 NC),5.7,145,70,Orthodox,1984,2.04,44,3.14,53,0.59,30,36,0.8
Josh Jarvis,32e8e0e8498f03c2,Record: 1-3-0,,,,,,0.0,0,0.0,0,0.0,0,0,0.0
Brock Jardine,64959f90b6dd9759,Record: 9-3-0,5.11,170,73,Orthodox,1985,1.06,30,3.34,56,0.0,0,14,0.8
Jaime Jara,805ad1801eb26abb,Record: 32-10-0 (1 NC),6.1,205,,Southpaw,1969,2.2,60,1.47,56,0.0,0,25,0.0
Keith Jardine,b9d0fd83bb8a147a,Record: 17-10-2,6.2,185,76,Orthodox,1975,3.25,36,2.98,59,1.18,45,62,0.7
Dave Jansen,335ad945324c3a2e,Record: 15-3-0,5.9,155,73,Orthodox,1979,2.94,33,3.67,58,2.79,28,38,0.9
Ryan Janes,b59037262c8fe060,Record: 10-3-0,6.3,185,76,Orthodox,1981,7.69,48,5.53,59,0.35,100,58,0.0
Josh Janousek,8f7380fb0916dc77,Record: 8-1-0,5.11,185,73,Orthodox,1980,0.0,0,0.0,0,0.0,0,0,0.0
Justin James,1ea8df62b3f8fea6,Record: 13-7-0,5.1,155,,Orthodox,1976,1.34,36,2.68,50,0.0,0,50,1.6
Nate James,a34fecf2f4e5a317,Record: 13-7-1,6.0,185,,,1978,1.33,42,2.67,28,0.0,0,44,0.0
Dustin Jacoby,e4277e87a789d687,Record: 6-3-0,6.4,185,78,Orthodox,1988,1.5,25,2.65,61,0.0,0,28,0.0
Eric Jacob,ba17afef01ed78b6,Record: 1-9-0,,155,,,,0.0,0,0.0,0,0.0,0,0,0.0
Mike Jackson,0641c21bec209472,Record: 0-1-0,6.2,170,,,1985,4.0,50,2.67,50,0.0,0,0,0.0
Jason Jackson,ca8da445dfa82d56,Record: 7-2-0,6.1,170,78,Orthodox,1990,1.31,43,2.24,52,5.61,100,100,0.0
Kenyon Jackson,56c5132870a526d5,Record: 4-3-0,6.0,185,,,,0.0,0,0.0,0,0.0,0,0,0.0
Jeremy Jackson,ad32471f01e7b1a5,Record: 9-5-0,5.1,170,,Orthodox,1982,0.71,27,2.03,25,1.52,40,58,0.0
Damon Jackson,29af297d9f1de0f8,Record: 9-1-1 (1 NC),5.11,145,71,Switch,1988,2.71,35,3.9,43,1.77,20,60,0.0
Eugene Jackson,ce783bf73b5131f9,Record: 15-9-1,5.8,185,,Orthodox,1966,2.19,33,3.44,32,1.91,71,16,2.3
Kevin Jackson,13b2f59210dda9cc,Record: 4-2-0,5.1,199,,Switch,,0.0,0,0.0,0,0.0,0,0,0.0
Joe Hurley,21b54430c8eeb9cc,Record: 12-5-0,5.8,155,,,1978,1.12,45,3.35,56,0.0,0,20,0.0
Yves Jabouin,b4eeac608fc82f88,Record: 20-11-0,5.7,135,68,Orthodox,1979,3.06,41,2.93,62,1.94,60,82,0.1
Alex Hunter,baa5358456803df8,Record: 2-0-0,5.9,226,,Orthodox,,0.0,0,0.0,0,0.0,0,0,0.0
Mark Hunt,eef9b891edbd4604,Record: 13-12-1 (1 NC),5.1,265,72,Orthodox,1974,2.91,44,2.87,51,0.54,55,63,0.2
Abongo Humphrey,cb1b4d237b0079e6,Record: 7-3-0,5.11,205,,Orthodox,,1.45,40,3.83,46,1.41,37,33,3.3
David Hulett,b0718335e9868cfd,Record: 18-9-0,5.1,170,,,1980,0.0,0,0.0,0,0.0,0,0,0.0
